countries,co2_cummulative,ghg_cummulative,ghg_2010,co2_2011,change_1971_2011,change_1990_2011,total_footprint,pop_2010,gdp_ppp_2010,hdi_2011,hdi_change_1990_2011,gender_inequality_2012,maternal_2010
Taiwan,5484.4,,,264.7,754.3,131.4,292.0,23024956.0,,,,,
Tajikistan,409.7,207.95,10.46,3.0,,-72.6,,7627326.0,13370.0,0.618,0.49,0.338,65.0
Tanzania,113.1,1350.34,72.71,6.3,310.8,267.1,10.4,44973330.0,56273.0,0.47,33.14,0.556,460.0
Thailand,3927.9,5607.3,381.94,243.2,1397.0,202.4,246.2,66402316.0,530367.0,0.6859999999999999,20.56,0.36,48.0
Togo,30.0,164.01,8.12,1.2,266.3,118.7,,6306014.0,5436.0,0.455,19.11,0.5660000000000001,300.0
Tonga,3.3,6.93,0.4,,,,,104098.0,430.0,0.7090000000000001,8.08,0.462,110.0
Trinidad & Tobago,773.0,604.07,54.01,40.8,563.2,258.6,,1328095.0,31142.0,0.759,10.8,0.311,46.0
Tunisia,557.7,575.61,27.82,21.1,474.1,74.9,21.7,10549100.0,89610.0,0.71,28.39,0.261,56.0
Turkey,5750.7,6182.3,385.77,285.7,590.0,125.1,327.5,72137546.0,914063.0,0.72,26.54,0.366,20.0
Turkmenistan,1846.5,1487.43,96.4,61.5,,38.4,,5041995.0,37027.0,0.693,,,67.0
Uganda,53.0,452.94,27.5,,,,5.3,33987213.0,38399.0,0.454,48.37,0.517,310.0
Ukraine,25431.0,11065.82,390.35,285.4,,-58.5,255.4,45870700.0,276575.0,0.737,3.22,0.338,32.0
United Arab Emirates,2109.4,2609.38,256.41,165.9,6676.1,219.7,,8441537.0,307951.0,0.8170000000000001,,0.241,12.0
United Kingdom,68763.4,14194.64,627.46,443.0,-28.9,-19.3,704.3,62271177.0,2043064.0,0.875,11.61,0.205,12.0
United States of America,339174.0,138381.18,6866.92,5287.2,23.2,8.6,6153.2,309326225.0,12992000.0,0.936,6.61,0.256,21.0
Uruguay,283.9,626.6,34.67,7.6,45.1,102.0,9.8,3371982.0,42383.0,0.789,13.85,0.3670000000000001,29.0
Uzbekistan,6000.5,4448.91,219.98,110.2,,-8.0,,28562400.0,78648.0,0.649,,,28.0
Vanuatu,3.1,10.78,0.62,,,,,236299.0,946.0,0.625,,,110.0
Venezuela,4751.6,4753.58,262.47,159.2,205.8,51.5,150.0,29043283.0,316397.0,0.746,17.48,0.466,92.0
Vietnam,1639.8,3165.03,256.77,137.4,750.9,698.6,122.5,86932500.0,249923.0,0.614,39.86,0.299,59.0
Yemen,370.4,443.51,28.95,20.7,1639.8,222.1,,22763008.0,57076.0,0.459,60.49,0.747,200.0
Zambia,183.9,1391.85,67.65,2.1,-38.8,-19.3,5.5,13216985.0,18114.0,0.443,11.31,0.623,440.0
Zimbabwe,632.7,515.02,20.36,9.5,30.8,-40.9,11.4,13076978.0,,0.387,-9.37,0.544,570.0
